"last_purchase","max_discount","shoe_spend","apparell_spend","acc_spend","custserv_calls","churn","acc_purchasers","promo_purchaser","shoe_orders","apparel_orders","acc_orders","gender","ecommShopper","bhShopper","state","area_code","phone"
56.5,0.26,322.2,"194.3",126,1,0,0,1,3,2,4,"Male",FALSE,TRUE,"MS",510,"402-5509"
84,0.46,279.1,"170.9",92,0,0,0,1,2,2,3,"Male",FALSE,FALSE,"OH",510,"370-3021"
96,0,294.7,"306",96,1,1,0,0,2,3,3,"Female",TRUE,FALSE,"MI",415,"373-1448"
62,0,255.4,"185.6",100,2,0,0,0,2,2,3,"Male",FALSE,FALSE,"VT",510,"403-1769"
45,0.28,300.6,"197.9",154,0,0,0,1,3,2,5,"Male",FALSE,TRUE,"WV",408,"405-9384"
68.5,0,243.4,"217",96,0,0,0,0,2,3,3,"Male",TRUE,FALSE,"FL",408,"384-6654"
58,0,241.9,"137.9",77,1,1,1,0,2,2,3,"Female",FALSE,TRUE,"MA",408,"371-9457"
62,0.26,226.3,"220.3",66,1,0,0,1,2,3,2,"Female",FALSE,FALSE,"WA",415,"380-6631"
101.5,0,180.7,"97.8",93,1,0,0,0,1,2,3,"Male",FALSE,TRUE,"NY",510,"379-2991"
80,0.32,159.7,"124.4",106,2,0,1,1,1,2,3,"Female",FALSE,TRUE,"ID",415,"345-5980"
69.5,0,225.4,"263.9",126,4,0,1,0,2,3,4,"Female",TRUE,TRUE,"RI",408,"382-3966"
85.5,0.39,157.8,"241.2",58,1,0,0,1,1,3,2,"Male",FALSE,FALSE,"CA",408,"337-7377"
94.5,0.33,177,"178",113,2,0,0,1,1,2,4,"Female",FALSE,TRUE,"WV",510,"353-2450"
90,0.32,95.9,"157",86,1,0,0,1,1,2,3,"Male",FALSE,TRUE,"CO",415,"408-4530"
64,0,333,"123.6",170,3,0,0,0,3,2,5,"Male",FALSE,FALSE,"AR",408,"338-1400"
75,0,216.4,"156.4",109,0,0,0,0,2,2,3,"Female",TRUE,FALSE,"FL",415,"328-6770"
76,0,218,"111.1",103,1,1,0,0,2,2,3,"Male",TRUE,FALSE,"SD",415,"357-5696"
107.5,0,301.8,"137.1",97,3,0,0,0,3,2,3,"Male",FALSE,TRUE,"ME",415,"402-5014"
85.5,0,183.2,"137.2",122,3,0,0,0,2,2,4,"Male",FALSE,FALSE,"UT",415,"368-8026"
65.5,0,250.4,"161.4",100,2,0,0,0,2,2,3,"Female",TRUE,TRUE,"ME",415,"403-4816"
69,0,231.1,"145.9",162,2,0,0,0,2,2,5,"Male",FALSE,TRUE,"NV",408,"415-1203"
91.5,0,248,"176.7",111,1,0,1,0,2,2,3,"Male",FALSE,TRUE,"CA",415,"330-8351"
72.5,0,191.3,"136.8",94,3,0,0,0,2,2,3,"Female",TRUE,TRUE,"GA",408,"372-9976"
44.5,0.32,257.3,"135.3",90,2,0,0,1,2,2,3,"Male",FALSE,TRUE,"IN",510,"389-2631"
84,0,274.4,"181.5",72,1,0,0,0,2,2,2,"Male",FALSE,FALSE,"VT",510,"377-8267"
84.5,0.25,259.6,"89.9",131,2,0,0,1,2,1,4,"Female",FALSE,TRUE,"NE",415,"400-3150"
66,0,164.3,"240.5",90,3,0,0,0,1,3,3,"Male",FALSE,TRUE,"VT",408,"351-9537"
51.5,0,296.9,"130.1",143,3,0,0,0,2,2,4,"Male",FALSE,TRUE,"MI",415,"419-9097"
73.5,0,262.7,"220.5",105,3,0,0,0,2,3,3,"Female",FALSE,FALSE,"NV",408,"375-6911"
